Date,Original,EW,GMV,MSR
2011-05-06,1017.7172534914112,1052.60683593848,1070.9725016834605,1022.1115682376723
2011-05-09,1019.229989028449,1051.5645347049551,1068.9874703909918,1023.4265760371546
2011-05-10,1028.7994285944062,1065.1798245660614,1078.3505553657983,1024.1760757371844
2011-05-11,1017.2563425630163,1055.2467256204436,1074.053611613507,1013.8191097294801
2011-05-12,1016.8367323302074,1055.6313906513858,1080.7387777467377,1012.7039195269059
2011-05-13,1007.2993004035136,1049.53694690892,1080.8704564594734,1003.2844269230077
2011-05-16,996.7257624908481,1042.3823101599103,1078.8309699434922,988.8245211597713
2011-05-17,996.5951874782477,1034.614904908862,1069.7160421305846,991.443496054334
2011-05-18,1005.7760221529222,1044.1448144322685,1074.9706849455608,998.5176060329537
2011-05-19,1005.2928473303748,1044.5888790434117,1078.1726037647725,999.5486663328646
2011-05-20,998.5346727782023,1038.4467380852025,1072.6823560101084,992.5340985081386
2011-05-23,986.9842171945677,1020.7797494948944,1057.4200027323939,983.8716088121894
2011-05-24,986.3960127045596,1021.9251822909094,1057.7973466231836,981.3005721501845
2011-05-25,990.2643143322356,1026.4103072360056,1061.1464785807032,984.512835911614
2011-05-26,996.5785051892054,1028.8690983823549,1062.2382359103606,993.9723620514859
2011-05-27,1014.3236322108052,1043.6707711767906,1065.8279956698213,999.1477710773897
2011-05-31,1026.6576046306714,1056.4196596444287,1078.5406909976532,1011.8413717043106
2011-06-01,1009.783002960956,1040.4714534654304,1065.0713755989173,996.6860720379509
2011-06-02,1006.3577819547107,1033.3691877679296,1055.295487337274,993.6437248854064
2011-06-03,996.5898899495726,1025.6177064170447,1055.1719347793667,984.1850417809183
2011-06-06,990.716561547132,1021.7228836240816,1053.699721601123,980.7579061694128
2011-06-07,990.4514072223154,1022.8031885367536,1055.1225917403945,980.7841085981736
2011-06-08,984.5915572260743,1016.780718341807,1049.194238842426,978.1487381678378
2011-06-09,989.159131953185,1023.8188117951581,1053.4020393176697,979.0449701102683
2011-06-10,976.1259475665897,1009.4002259873798,1036.4653728828303,973.4633096591956
2011-06-13,974.6311807974637,1009.522552647391,1041.061871673033,978.2474441409371
2011-06-14,983.3421242196353,1019.7448758370596,1047.3284765892688,987.2554971821132
2011-06-15,971.0136522261051,1008.3806941433008,1037.0205452766209,972.4672358817143
2011-06-16,968.5199317255989,1004.6714292560152,1034.773122085272,977.9631393067814
2011-06-17,961.5422593612744,1002.0725066632103,1036.019927465909,979.5737131482815
2011-06-20,962.7393289158051,1004.2438392525102,1034.128285814419,980.7734527782491
2011-06-21,980.3197038791121,1021.468344626054,1042.097231873485,994.4329176504463
2011-06-22,974.7598720753109,1016.6724607913371,1039.2334076273828,988.6132350446383
2011-06-23,977.8239273900184,1013.4260943162021,1034.864444840704,993.8275245122703
2011-06-24,969.3290842364221,1011.1642918183932,1034.9998441749735,986.0829976778075
2011-06-27,978.5204028097495,1017.6850645627607,1036.2737731074592,1005.1304368899836
2011-06-28,988.8390185144298,1028.7359067835193,1046.372829235638,1016.1971623542004
2011-06-29,994.3529417992685,1035.8451187505302,1056.7568651123204,1012.8941984517454
2011-06-30,1007.6227764249426,1049.3338325628886,1065.1421663528108,1022.3552840589749
2011-07-01,1021.928308415216,1063.5455470007983,1073.935011826213,1034.5386348310299
2011-07-06,1021.3268043678894,1063.4438811363723,1072.4222574123635,1040.7020071280865
2011-07-07,1033.0092612041879,1072.9540020201785,1075.5185068624494,1051.7024167867262
2011-07-08,1028.3274433730735,1066.0318760474963,1070.8247379396528,1055.4145713326006
2011-07-11,1013.3788452619937,1049.510476634129,1057.193431783782,1045.4913997680515
2011-07-12,1009.8907805037389,1044.4814124816594,1055.9688992004242,1042.0441319397405
2011-07-13,1012.3462013540114,1046.8053246739119,1056.5648250819088,1046.4084418323864
2011-07-14,1007.3448566102645,1039.4201333451517,1048.6412495709085,1042.5104065408552
2011-07-15,1023.0832330367225,1051.8466019552304,1053.8057670402147,1051.4359558383644
