date,theta_log
2021-09-17,3.162452667660736
2021-09-20,3.1854325021764196
2021-09-21,3.1932231857496842
2021-09-22,3.201075412233503
2021-09-23,3.208986858027728
2021-09-24,3.216955182008266
2021-09-27,3.2411777635505863
2021-09-28,3.249349862906826
2021-09-29,3.2575668963868574
2021-09-30,3.2658264324382733
2021-10-01,3.2741260269314743
2021-10-04,3.2992405463205983
2021-10-05,3.3076757071271974
2021-10-06,3.31613854250191
2021-10-07,3.3246265481555954
2021-10-08,3.333137212350822
2021-10-11,3.3587799427092726
2021-10-12,3.3673560007848797
2021-10-13,3.375942073069544
2021-10-14,3.3845356188063396
2021-10-15,3.3931340950268267
2021-10-18,3.4189336595387183
2021-10-19,3.4275264101244627
2021-10-20,3.436111369527091
2021-10-21,3.4446859973189987
2021-10-22,3.4532477561298682
