path,npv_eur,npv_eur_mean,npv_eur_p50,npv_eur_p10,npv_eur_p90
35,6747.738161054497,5527.615657021368,4698.210142945809,2869.153655646258,9211.402855659931
36,11976.83388061497,5527.615657021368,4698.210142945809,2869.153655646258,9211.402855659931
37,3846.987923070879,5527.615657021368,4698.210142945809,2869.153655646258,9211.402855659931
38,5350.036050883225,5527.615657021368,4698.210142945809,2869.153655646258,9211.402855659931
39,2384.2794808176413,5527.615657021368,4698.210142945809,2869.153655646258,9211.402855659931
40,6770.854440644571,5527.615657021368,4698.210142945809,2869.153655646258,9211.402855659931
41,2247.958249836504,5527.615657021368,4698.210142945809,2869.153655646258,9211.402855659931
42,7127.560429985907,5527.615657021368,4698.210142945809,2869.153655646258,9211.402855659931
43,4385.4086195345235,5527.615657021368,4698.210142945809,2869.153655646258,9211.402855659931
44,3239.7608167860158,5527.615657021368,4698.210142945809,2869.153655646258,9211.402855659931
45,2417.9374259472656,5527.615657021368,4698.210142945809,2869.153655646258,9211.402855659931
46,7709.678329149302,5527.615657021368,4698.210142945809,2869.153655646258,9211.402855659931
47,2534.1904812143066,5527.615657021368,4698.210142945809,2869.153655646258,9211.402855659931
48,6587.809493059492,5527.615657021368,4698.210142945809,2869.153655646258,9211.402855659931
49,3554.1783382998865,5527.615657021368,4698.210142945809,2869.153655646258,9211.402855659931
50,9240.828669203629,5527.615657021368,4698.210142945809,2869.153655646258,9211.402855659931
51,10236.908195882163,5527.615657021368,4698.210142945809,2869.153655646258,9211.402855659931
52,6909.570061231018,5527.615657021368,4698.210142945809,2869.153655646258,9211.402855659931
53,8116.847431671218,5527.615657021368,4698.210142945809,2869.153655646258,9211.402855659931
54,4678.331236337474,5527.615657021368,4698.210142945809,2869.153655646258,9211.402855659931
55,4340.309625993204,5527.615657021368,4698.210142945809,2869.153655646258,9211.402855659931
56,9534.706040291303,5527.615657021368,4698.210142945809,2869.153655646258,9211.402855659931
57,5997.4200168478765,5527.615657021368,4698.210142945809,2869.153655646258,9211.402855659931
