path,npv_eur,npv_eur_mean,npv_eur_p50,npv_eur_p10,npv_eur_p90
73,7494.515428788339,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
74,8077.227792356518,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
75,4619.3952449980825,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
76,8031.088064523551,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
77,28788.29643528111,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
78,6596.43212337923,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
79,5022.980046894866,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
80,4701.013344023564,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
81,6555.870628355383,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
82,10603.736820306955,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
83,5155.978683843716,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
84,6361.987622047694,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
85,9885.223528524182,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
86,6005.73568391564,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
87,3891.347654654304,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
88,6653.415750479519,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
89,6262.310243789525,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
90,7634.297497856499,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
91,4938.90064961633,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
92,6893.339556076793,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
93,5402.360646494357,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
